text,label
"DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING
Date: 30-07-2025

To
‘The Registrar

Siddhartha Academy of Higher Education, Deemed to be University
Kenuru, Vijayawada - 07

(Through Proper Channel)

Subject: Precautionary Information Regarding Proc
at campus.

n Digging Works

Dear Sir,

This is to inform you that proclain digging works are being carried out in our
institution, As the inteet OFC (Optical Fibre cables) are laid underground,
there is a high risk of these cables being damaged during such digging activities,
Any damage may cause serious internet interruptions across the campus

OFC cable restoration is a challenging and time-intensive process, and any
damage oxn lead (0 major disruptions in the institute’s internet services. Prior
intimation and coordination with the Central Server Room are essential to avoid
such interruptions.

Contact persons for coordination:

1, Mr. P. S, Ramacharyulu, CSE ~ 92462 99918
2, Mr. P, Anil Kumar, CSE ~ 94949 43274

Hence, We kindly request you to forward this information to the concerned
maintenance team and ensure they inform/coordinate the Central Server Room
in advance whenever any proclain ot digging work is planned, so that necessary
precautions can be taken to protect the OFC cables.

‘Thanking You
Yours sincerely,

(Dr.D.Rajeswara Rao)
",Permission
"SIDDHARTHA

IGHER EDUCATION

ED TO BE UNIVERSITY

‘SU/F.No.A2/ Notice/2025 De 01-09-2025

NOTICE

‘Sub: Final Notice for Tuition Fee Defaulters of 3rd & 4th Year B.Tech ~ Academic Year 2025-26
Reg,

All tuition fee defaulters of 3rd and 4th year B.Tech are hereby directed to clear their
outstanding tuition fees on or before 8th September 2025.

Failure to do so will result in the students not being allowed to attend classes, even
‘unofficially, and they will only be permitted to join in the next academic year, subject to payment of
the required tuition fee.

—~ “her
(wravcnandf
wgastPan
To :All Notice Boards. aT cher Education
Copy to: eters
‘Vice Chancellor, Pro Vice Chancellor ijayowrats
Director, All Deans, HODs, Registrar's office for records.

",Permission
"SIDDHARTHA

‘SUIRegisea’s Offee2025 21"" October 2125
0.€.No.

Dr. M Ravichand
REGISTRAR

CIRCULAR

Subject: Regulation of Access Timings through the University “North-West Gate (Near
Penamalura Police Station)

‘This isto inform al faculty members, non-teaching st, students, and visitors that the North-West Gate
‘of the University, located near the Penamalury Police Staion, will be accessible only during specific
time slots as part ofthe University’s ongoing efforts to enhance security, manage trafic flow, and ensure
‘smooth movement within the campus.

The gae wll be open during the following hours only:

1009:30a.m.

+ Evening: 03:30 pum. to 06:00 pam,

‘We request all members of the University community and visitors to strictly adhere to these timings and
make necessary arrangements to plan thei etry or exit accordingly.

This measure is taken inthe interest of campus safety and operational efiiency. Your cooperation and
support in following these timings will be highly appreciated by the University authorities,

Let ws work together to maint

secure, organise, and disciplined environment on campus.

ee)
Penge Se 7)
pace
ea econ
Sa
ne
=

All HoDs ~To Circuit among Faculty, taf & Students

‘Copy To: Vice-Chancellor Pro Vie-Chaneclor: Dieta
All Deans: Library Pysieal Director, Examinations;
Industry Relation. Traning & Placements: Mantnance:
Registrar's Office for Records
",Permission
"= SIDDHARTHA

4\!| ACADEMY OF HIGHER EDUCATION
. DEEMED TO BE UNIVERSITY

Ref: SU/Notice/F.No.42/2025 Dt: 18-10-2025

NOTICE

The University remains closed on the occasion of Diwali on
20-10-2025 (Monday) subject to arrangements being made to attend to
any urgent duties, if necessary.

a Bove dD

rears

ea

syddhartha Rab of Hehe Education
i ee, et

To
All notice boards
‘Vijayawada ~ 520007
",Permission
"Velagapudi Ramakrishna
SIDDHARTHA ENGINEERING COLLEGE

VRSEC / Scholarship Section /2025-26/ 09

(Autonomous)
Vijayawada - 520 007

NOTICE

Date:- 07-10-2025

The following Fee Reimbursement Students are directed to
meet their WARD SACHIVALAYAM immediately for completion of
“JVD 6"" Step Verification failing which they will not eligible to
receive Tuition Fee Reimbursement from

AY. 2025-26.

228W1A0126
228W1A0127
228W1A0159
228W1A0195
228W1A0219
228W1A0229
228W1A0233
228W1A0294
228W1A0316
228W1A0320
228W1A0343
228W1A0360
228W1A0361
228W1A0364
228W1A0369
228W1A0476
228W1A04G7
228W1A04H4
228W1A04H7
228w1A04M0
228W1A04M1

To
All Notice Boards

228W1A0540
228W1A05D0
228W1A05)5
228W1A1062
228W1A1212
228W1A1213
228W1A1230
228W1A1243
228W1A1278
228W1A1294
228W1A4216
228W1A4227
228W1A5431
228W1A5454

238W1A0116
238W1A0119
238W1A0169
238W1A0191
238W1A02B5
238W1A0357
238W1A0391
238W1A0429
238W1A0465
238W1A04A5
238W1A04E1
238W1A04F7
238W1A04P8

To be read in all 3° & 4” Year class rooms

the Govt. of A.P. for the

238W1A0504 —.248W5A0106
238W1A0522 —248W5A0130
238W1A0524 — 248W5A0420
238W1A0552
238W1A0SD5
238W1A05E4
238W1A05F3
238W1A1010
238W1A1013
238W1A1026
238W1A1037
238W1A1038
238W1A1047
238W1A1062
238W1A1078
238WS5A0119
238W5A0327
238W5A0328
238W5A0345
238W5A0413
238WS5A1014
238W5A5407

PRI

V.R.Siddhartha Erfgineering College
AUTONOMOUS
AJAYAWADA-520 007.

heo
",Permission
"VRSIDDUART yroNoMous)

VIJAYAWADA

y

De 0771072025

EXAM FEE NOTIFICATION

the fovng i he sched oF PEN oF Examination fee for B-Tech [10 V-Semestes

(YR23 Regulation) Sypplementary Autet

Last Date for payment of Examination fee and submission of

sjomous Examinations to be held in December, 2025.

30/10/2025

»
the above Applications along with Fee Challan
2) a) Submission of above Applications wit Fine of Rs.100/- 011172025
1) Submission of above Applications With @ Fine of Rs.500/- 03/11/2025
¢) Submission of above Applications with a Fine of Rs.1000/- 2 05/11/2025
3) For B.Tech,, 110 1V (VR23) Semesters Wilke
Date of Commencement of Examinations informed later
4) a) Examination fee for each Theory / Practical Subject Rs300/-
b) More than Four Subjects (Per Semester) Rs.1200/-
‘Submission of Supplementary Application along with Photocopy of : i
5) Previous Semester Marks Memo/Intemet Copy a_i

feo
(Dr. TS R CHOWDARY)

Controller of Examinations

Be
(Or. AV RA’ PRASAD)

Principal

[NOTES sions for Suplementars Examination is Col) are available in Examination section.
red after 30/10/2025 (without fine), 01/11/2025 (with 100V- fine),

2) Applications will not be accep
03/11/2025 (with 5
‘examination fee in time.

To

DANHOD' on
2) Examination Sect
3) All Notice Boards
4) College web-site

I moore fing) and 05/1/2025 (with 1000/ fine) even though they paid
",Permission
"COE

VELAGAPUDI RAMAKRISHNA A peos
SIDDHARTHA ENGINEERING COLLEGE \-e
(AUTONOMOUS)
VLIAYAWADA ~ 520 007

VRSEC/EXAMS/2025 DT: 23-09-2025

NOTICE

This is to inform you that all the B.Tech V Semester (Regular) -
(VR23) students are advised to verify all subjects in the Application forms collected
from the Departments.

Any discrepancies noticed in the subjects are informed to the Examination
section (Admn. Block), first floor immediately on or before 27-09-2025.

PRINCIPAL

iddhartha Engineering College
AUTONOMOUS
VIJAYAWADA-520 007

v

HOD’s are requested to read in 3/4 B.Tech class rooms.
",Permission
"SIDDHARTHA

‘SU/Registrar’s Office/2025 19% September 2025
0.C.No.

Dr. M. Raviehand, 4... 7.9
REGISTRAR

CIRCULAR
Subject: Prohibition of Unauthorised Use of Posters, Decorations, and Wall Pasting in University

Premises

Ithas been observed on several occasions that during the organisation of events such as Freshers’ Day;
Farewell Parties, FDPs, Conferences, Seminars, Welcome Parties, Dussehra, Sankranti, Supragna,
Annual Day, and other celebrations, students are using decoration items and pasting posters on the walls
and doors of the University buildings. Such practices are leaving scars and permanent marks on the walls,
thereby affecting the aesthetics and overall appearance of our university premises.

All students are hereby strictly warned not to paste papers, banners, or any decorative material on the
walls, doors, or any other surface of the University during the conduct of events. Any decoration without
te.

prior written approval from the University authorities is strictly prol

Violation of this instruction will lead 10:
1), Disciplinary action against the concerned students.
2). Imposition of a fine on the concerned batch of students responsible for the damage.

‘All Heads of Departments and Faculty Members are requested to create awareness among students
regarding this matter and ensure compliance. Preserving the neatness and aesthetic appeal of the

University is the shared responsibility ofall members ofthe University community

By Order

Za chand
ae elas
Registrar
Siddhartha Academy of Higher Education

(Deemed to be University)

‘Vijayawada-520 007

Tor
All HoDs —For Circulation among Faculty, Staff & Students

Copy To: Vice Chancellor; Pro Vice Chancellor:
Director; All Deans;

Library; Physical Director; Examinations;

Industry Relations, Training & Placements; Maintenance:
Registrar's Office for Records

",Permission
"SIDDHARTHA

|| ACADEMY OF HIGHER EDUCATION
jo isason DEEMED TO BE UNIVERSITY

Ref: SU/ F. No:42 / Notice /2025 Date: 11-09-2025

FINAL REMINDER

All Third and Final Year B.Tech students with pending tuition fees are hereby directed to
clear their dues on or before 20th September, 2025. Failure to do so wil

from appearing for the Class Assessment Examinations.

Furthermore, Second Year B.Tech students who have not paid their tuition fees in full are
Instructed as follows:
+ Students who have not paid any fees will not be permitted to attend classes from
12th September, 2025.

+ Students who have partially paid their tuition fees must clear the remaining balance by
20th September, 2025.

All concerned students are advised to treat this matter with urgency to avoid any academic

inconvenience.

Ae chee
“4 Tt
REGISTRAR
Registrar
‘Siddhartha Academy of Higher Education

To: AllNotice Boards. {Deemed to be Uist
Viana - 520 007

Copy to:
‘+ Vice Chancellor, Pro Vice Chancellor
‘© Director, ll Deans, HODs, Registrars Office for records

‘+ All HODs to take necessary action and inform the same to defaulters
through class counsellor.
",Permission
"ACADEMY OF HIGHER EDUCATION 662884930

@ SIDDHARTHA

‘SUMotidays2025 04"" September 2025
0.C.No.

Dr. M. Ravichand,w 9.x...
REGISTRAR
CIRCULAR

Sub: Working Day on 5* September 2025 (Friday) ~ Reg.

‘As per the Siddhartha Academy of General and Technical Education (SAGTE) Calendar, Milad un-Nabi
on $* September 2025 (Friday) is nota designated holiday. Therefore, al classes will be held as usual
con the said date,

However, Mustim Faculty, Staff, and Students may avail themselves ofthe day as an optional holiday

Inis Further informed that Teachers’ Day celebrations are scheduled on the same day. Faculty, staff, and
students involved in the event are required to make alternative arrangements and must obtain prior
permission from the concemed Head ofthe Department before availing leave.

All concemed are hereby requested to make note ofthe above and act accordingly.

All HoDs — For Circulation among Faculty, Staff & Students

‘Copy To: Vice Chancellor: Pro Vice Chancellor;
Director, All Deans:

rary; Physical Director; Examination;
Industry Relations, Training & Placements; Maintenance;
Registrar's Office for Records

",Permission
